Resume,Field,Expected,Extracted,Match,Notes
resume_01_standard.txt,candidate_full_name,John Michael Doe,John Michael Doe,YES,
resume_01_standard.txt,current_location,"San Francisco, CA, USA","San Francisco, CA, USA",YES,
resume_01_standard.txt,linkedin_url,https://linkedin.com/in/johndoe,https://linkedin.com/in/johndoe,YES,
resume_01_standard.txt,github_url,https://github.com/johndoe,https://github.com/johndoe,YES,
resume_01_standard.txt,gender,None,,YES,Correctly null/empty
resume_01_standard.txt,email_ids,['john.doe@email.com'],['john.doe@email.com'],YES,
resume_01_standard.txt,phones,['+1-555-123-4567'],['+1-555-123-4567'],YES,
resume_01_standard.txt,total_experience_years,7,7.0,YES,
resume_01_standard.txt,key_skills,"['Python', 'Django', 'Flask', 'JavaScript', 'React', 'TypeScript', 'PostgreSQL', 'MongoDB', 'Redis', 'Docker', 'Kubernetes', 'AWS', 'Azure', 'CI/CD', 'Git', 'REST APIs', 'GraphQL', 'Agile', 'Scrum', 'TDD']","['Python', 'Django', 'Flask', 'JavaScript', 'React', 'TypeScript', 'PostgreSQL', 'MongoDB', 'Redis', 'Docker', 'Kubernetes', 'AWS', 'Azure', 'CI/CD', 'Git', 'REST APIs', 'GraphQL', 'Agile', 'Scrum', 'TDD']",YES,
resume_01_standard.txt,work_experience,3,3,YES,
resume_01_standard.txt,education,1,1,YES,
resume_01_standard.txt,certifications,"['AWS Certified Solutions Architect - Associate', 'Microsoft Certified: Azure Developer Associate', 'Certified Kubernetes Administrator (CKA)']","['AWS Certified Solutions Architect - Associate (2022)', 'Microsoft Certified: Azure Developer Associate (2023)', 'Certified Kubernetes Administrator (CKA) (2021)']",YES,
resume_01_standard.txt,languages_known,"['English', 'Spanish', 'French']","['English', 'Spanish', 'French']",YES,
resume_02_data_analyst.txt,candidate_full_name,Sarah Johnson,SARAH JOHNSON,YES,
resume_02_data_analyst.txt,current_location,"New York, NY","New York, NY",YES,
resume_02_data_analyst.txt,linkedin_url,https://linkedin.com/in/sarahjohnson-data,https://linkedin.com/in/sarahjohnson-data,YES,
resume_02_data_analyst.txt,github_url,https://github.com/sjohnson-data,https://github.com/sjohnson-data,YES,
resume_02_data_analyst.txt,gender,None,,YES,Correctly null/empty
resume_02_data_analyst.txt,email_ids,"['sarah.j@outlook.com', 'sarah.johnson@company.com']","['sarah.j@outlook.com', 'sarah.johnson@company.com']",YES,
resume_02_data_analyst.txt,phones,['(212) 555-0198'],['(212) 555-0198'],YES,
resume_02_data_analyst.txt,total_experience_years,4,4.0,YES,
resume_02_data_analyst.txt,key_skills,"['Power BI', 'Power Automate', 'Power Apps', 'Python', 'SQL', 'R']","['Power BI', 'Power Automate', 'Power Apps', 'Dataverse', 'Python', 'SQL', 'R', 'DAX', 'M Query', 'Excel', 'Tableau', 'SSRS', 'SSIS', 'Azure Data Factory', 'Azure SQL', 'Azure DevOps', 'Git', 'Jira', 'Agile', 'Scrum']",YES,
resume_02_data_analyst.txt,work_experience,3,3,YES,
resume_02_data_analyst.txt,education,2,2,YES,
resume_02_data_analyst.txt,certifications,"['PL-900', 'DA-100']","['Microsoft Certified: Power Platform Fundamentals (PL-900)', 'Microsoft Certified: Data Analyst Associate (DA-100)', 'Google Data Analytics Professional Certificate', 'Azure Fundamentals (AZ-900)']",YES,
resume_02_data_analyst.txt,languages_known,"['English', 'Mandarin']","['English', 'Mandarin']",YES,
